baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CPAR2_101240	412.257574363684	-0.658882649165281	0.97424236587432	-0.676302604202575	0.498848539683321	0.811908913560831
CPAR2_101250	1009.52413922859	-0.24312187482794	0.414092261955093	-0.587120062761052	0.557123074076379	0.838816523929235
CPAR2_101260	1001.65299952304	-2.43547065300056	0.671771955736324	-3.62544258092921	0.000288466988596135	0.0127512620180327
CPAR2_101270	3813.08705247439	-0.700899728218561	0.479093410673922	-1.4629709209163	0.143475336048337	0.50718988220909
CPAR2_101280	3556.13062222981	0.580940135372053	0.398066888029354	1.4594033134683	0.144454134569848	0.508490769680333
CPAR2_101290	845.264063557053	0.142771641983841	0.390105453133549	0.365982174401866	0.714378376973516	0.910982893281264
CPAR2_101300	207.253119843884	0.576678821317972	0.425702662999721	1.35465166521251	0.175528564353244	0.550605694274368
CPAR2_101310	565.085583815971	0.76263838885432	0.598539122029476	1.27416631726332	0.20260447959523	0.579952127704288
CPAR2_101320	788.218028016596	0.106993058659861	0.552615232246323	0.193612214098669	0.846479533695326	0.958898497582493
CPAR2_101340	2047.96847346554	0.386617885781857	1.80837562761543	0.213792908883461	0.830708555004596	0.956491744257415
CPAR2_101360	843.814292829309	-1.19361217516427	0.532392422609065	-2.24197814333045	0.0249627849414504	0.21334926213007
CPAR2_101370	326.896608072103	0.391434185162756	0.477158439581422	0.820344256105234	0.412019883859498	0.756314191158272
CPAR2_101380	1199.02690480618	-0.47225162044751	0.44545629476471	-1.0601525357206	0.289075210449307	0.663571082809875
CPAR2_101390	10937.4587679079	0.472739993971137	0.695864933142173	0.679355966159241	0.496912343279666	0.810375841078949
CPAR2_101400	360.194173901636	0.745434833344633	0.627656231582915	1.18764826322952	0.234972014764615	0.606972292338285
CPAR2_101410	13637.0388660953	0.221657344419595	0.449426992038277	0.493199893077888	0.621871353426856	0.875765755693022
CPAR2_101420	708.947800525727	0.351579084210947	0.529933055234485	0.663440562422324	0.507048434725261	0.817529674452124
CPAR2_101430	4540.15452760753	-0.387614866417222	0.306327745443573	-1.26535996880055	0.205742318398666	0.58171152032977
CPAR2_101440	1658.05467002416	0.0291612677181945	0.435989045298754	0.0668853220800816	0.946672998153286	0.982730975744769
CPAR2_101450	1499.42586618076	0.160129407793216	0.585332566166798	0.273569961845563	0.784415120603027	0.940507327751348
CPAR2_101460	1598.11593774241	0.687069345253735	0.610219364018901	1.12593828673135	0.260191642016197	0.634248305879689
CPAR2_101470	443.81646303526	0.972246911150838	0.44830619627072	2.16871174040995	0.030104575489592	0.233135433442655
CPAR2_101480	7933.94441889262	0.573214978171235	0.480936758105691	1.19187183867793	0.233311501917392	0.606972292338285
CPAR2_101490	308.773739619452	0.102394591280653	1.04812557733258	0.0976930565335898	0.922176029266806	0.977353971183471
CPAR2_101500	401.92872247174	0.765456016131512	0.416649333679121	1.8371708634989	0.0661846755165963	0.357161212972196
CPAR2_101510	2514.7748791644	0.0348581386012676	0.526586381310199	0.0661964301365658	0.947221438881015	0.982730975744769
CPAR2_101520	2567.47478636332	-0.386419249055357	0.516853784981153	-0.747637456247801	0.454678865515428	0.785583166118839
CPAR2_101530	566.85228672246	0.1477882373974	0.517192091253852	0.285751154931836	0.775068721500394	0.934685722813729
